
Gene.name,Chromosome,Start,end
RP11-34P13.3,1,29554,31109
FAM138A,1,34554,36081
OR4F5,1,69091,70008
RP11-34P13.7,1,89295,133723
RP11-34P13.8,1,89551,91105
RP11-34P13.14,1,139790,140339
RP11-34P13.9,1,160446,161525
FO538757.3,1,182393,184158
FO538757.2,1,184923,200322
AP006222.2,1,257864,297502
RP5-857K21.15,1,357383,359681
RP4-669L17.2,1,358857,366052
RP4-669L17.10,1,365389,501617
OR4F29,1,450740,451678
RP5-857K21.4,1,585989,827796
RP5-857K21.2,1,587629,594768
OR4F16,1,685716,686654
RP11-206L10.4,1,760911,761989
RP11-206L10.9,1,778770,810060
FAM87B,1,817371,819837
LINC00115,1,826206,827522
FAM41C,1,868071,876903
RP11-54O7.16,1,904834,915976
RP11-54O7.1,1,911435,914948
RP11-54O7.2,1,914171,914971
RP11-54O7.3,1,916865,921016
SAMD11,1,924880,944581
NOC2L,1,944204,959309
KLHL17,1,960587,965715
PLEKHN1,1,966497,975865
PERM1,1,975204,982093
RP11-54O7.17,1,995966,998051
HES4,1,998962,1000172
ISG15,1,1001138,1014541
RP11-54O7.11,1,1011997,1013193
AGRN,1,1020123,1056118
RP11-54O7.18,1,1062208,1063288
RNF223,1,1070966,1074307
C1orf159,1,1081818,1116361
LINC01342,1,1137017,1144056
RP11-465B22.8,1,1169357,1170343
TTLL10-AS1,1,1173056,1179555
TTLL10,1,1173884,1197935
TNFRSF18,1,1203508,1206691
TNFRSF4,1,1211326,1214138
SDF4,1,1216908,1232031
B3GALT6,1,1232265,1235041
FAM132A,1,1242446,1246722
RP5-902P8.12,1,1249777,1251334
UBE2J2,1,1253909,1273885
RP5-902P8.10,1,1275223,1280420
SCNN1D,1,1280436,1292029
ACAP3,1,1292376,1309609
PUSL1,1,1308567,1311677
CPSF3L,1,1311585,1324691
CPTP,1,1324756,1328897
TAS1R3,1,1331314,1335306
DVL1,1,1335276,1349350
MXRA8,1,1352689,1361777
AURKAIP1,1,1373730,1375495
CCNL2,1,1385711,1399328
MRPL20,1,1401908,1407313
RP4-758J18.13,1,1409096,1410618
ANKRD65,1,1418420,1421769
RP4-758J18.7,1,1420245,1422691
TMEM88B,1,1426128,1427787
RP4-758J18.10,1,1430539,1434573
VWA1,1,1434861,1442882
ATAD3C,1,1449689,1470158
ATAD3B,1,1471769,1497848
ATAD3A,1,1512151,1534687
TMEM240,1,1535174,1540453
SSU72,1,1541673,1574869
RP5-832C2.5,1,1574975,1577075
AL645728.1,1,1579756,1580046
C1orf233,1,1598012,1600096
RP11-345P4.9,1,1613758,1615795
MIB2,1,1615415,1630610
